most_recommend_rtv_program,least_recommend_rtv_program,most_recommend_rtv_program_reason,least_recommend_rtv_program_reason,HH Income + Production/Day (USD),target_binary
1.0,2.0,I recommend agriculture and nutrition because raising the village has introduced new crops and new methods of farming and this has increased food production,I recommend wash because the programs for wash are not active and this has increased sickness in the household and poverty in village,1.969640873750463,0
1.0,99.0,"They gave them free Improved seeds, taught modern agriculture practices 
She also benefited from the pigs which were distributed","All the projects that were implemented were very impact to the community mostly in agriculture and plus vslas
This has moved their statuses of the village close to middle Income",2.73768974453906,1
1.0,99.0,We used compost manure and our soil is fertile again. Use of organic Pesticides have reduced crop diseases and parasites.  We now harvest more than before,We are at a better economic growth rate and we are thankful of the endless efforts by raising the village to make sure we earn from our agriculture,2.60755275823769,1
1.0,99.0,Agriculture has helped the household to get income after selling the harvested yeilds and thus helping the in family expenditure,All the programs have been more useful to the community because alot has been gained thus improving people's standards of living,0.929285449833395,0
1.0,5.0,"Agriculture has helped in ensuring food security around the community,people have been able to learn how to plant improved seeds",Rtv can as well increase on chances of acquiring loan to people to increase in businesses and buy livestock for home support,2.176971492039985,0
1.0,99.0,"Because its the most programme that has improved our economy, uplifted my mindsetin Crop growingand making organic manure and Organic Pesticides.","None of the above qualify to be on the least because all look to be beneficial to us Forexample water, Agriculture where we are receiving crops.",3.261754905590522,1
1.0,5.0,The respondent recommends agriculture program because it has somehow contributed to the numbers in yields harvested and sold and consumed through teaching the newfarming skills,The respondent least recommend no program because they're all very important in the village andall communities at large so this question shouldn't have appeared,1.437985931136616,0
4.0,3.0,There is a motorcycle from raising the village that transports people to the hospital this reduces on the un necessary death of people and children,The water source needs renovation because its always breaking that's what she responds and the water water group is nolonger so active,6.32543502406516,1
1.0,2.0,They were given beans and they tried to plant the  which were much improved but the challenge was late delivery of the seeds,The issue of sanitation and hygiene is still missing and therefore raising the village needs to give us more trainings so that we can improve,1.043687523139578,0
1.0,5.0,I would recommend everyone to join rtv programs of agriculture because they have helped many people in different households to be better,I would least recommend rtv program of saving groups because the groups have no enough money to keep them active their by ending up in other saving groups,3.6567937800814514,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,1.8807848944835248,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,1.3520918178452426,0
1.0,3.0,The respondent says that agriculture is her best option because it has helped her to get food and this has led to her sustainance,"The respondent says that though rtv has brought water in the community, it is still far from her household and this makes it difficult to access it",1.218807848944835,0
1.0,99.0,My respondent HARRIET NAMWASE chose WASH as most recommended because they were taught the importance of tippy taps and it helps th reduce cause of diseases,My respondent HARRIET NAMWASE chose NONE as least recommended because they all important especially WASH and Agriculture and she said they gained a lot from rtv interventions in their village,2.923731951129211,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,1.617919289152166,0
1.0,99.0,"They got improved seeds and vegetable seedlings which increased theri production thus high sales. 
They also learnt modern farming practices which also increased productivity thus improved their standards of living",She recommends all programs to others because all programs were good for them therefore she highly recommends it to others,3.265827471306923,1
1.0,99.0,The respondent recommends the agriculture program because it has helped him alot in increasing the income generation of his household by introducing new farming methods,"Not applicable because the respondent says he has benefited very much from all the programs of raising the village through agriculture, livestock, wash,and water program",2.189744539059608,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,0.9070714550166604,0
1.0,5.0,Household received Raising the village improved seeds like beans and maize for growing using the adopted better methods of farming for higher yields,Respondent requests for more funds from Raising the village to boost their VSLA due to low savings by members and low turn of members,2.521584598296927,1
1.0,3.0,Agriculture and nutrition help to improve the health standards of household members and again this programme reduces expenses on buying food,Water for use in the household is collected from the nearby lake which is lake Bunyonyi so emphasis should be put on other programmes like food and nutrition,3.482413920770085,1
1.0,3.0,Agriculture has provided more sources of nutrition through vegetables which like cabbage hence improved immune system and more sources of food,Sources   of water are nearby which helps the respondent save time to go and do what they know best which is agriculture,1.2624953720844132,0
1.0,3.0,I recommend the agriculture program for my peers because raising the village has taught us how to grow vegetables and maintain them throughout the year.,"I least recommend the water program because the village is located by the lake side, but maybe this organisation could help to install some taps for those up the hils.",4.505738615327656,1
3.0,99.0,"The people of kagarama A had no access to safe water,but when raising stepped in there was adquate water supply, thus improving peoples health,sanitation and hygiene","All programms has helped peole in the community through diffrent trainings held by village champions,team leads that is agriculture and livestock,wash  stc",1.131803035912625,0
1.0,99.0,Agriculture and nutrition programme for the Raising the village has enabled farmers to acquire better farming practices and has led to high yields,All programs of Raising the village programs has been well implemented and none of them have been left not implemented and they have made life better,1.931803035912625,0
1.0,99.0,"The training of manure making has increased on the capacity and ability to increase food production and sustainability, which has led to better health condition and services","The provision of all rtv training has led to increased sustainability and awareness, leading to improved standarsd of living",3.4216956682710107,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,1.133320992225102,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,1.0699740836727138,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,0.4261384672343576,0
1.0,99.0,The respondent recommended agriculture and nutrition to be the most effective program where people in the community have received various support like animals and seeds,Still in the same manner the rising the village being a supportive organisation the respondent did not disclose any further information about this section,0.9586449463161792,0
1.0,99.0,"Household spouse was given soya, and beans. She was also given vegetable seedlings which has helped her alot. She has not been okay with her husband because he hasn't constructed for her in the village. But she has actively participated in all trainings regarding agriculture. And she has liked them","Household spouse has liked all rtv programs . She is not part of the VSLA, But she learnt how to work hard as a woman to raise household expenditure.And save. She plans to save and construct",2.557201036653092,1
1.0,3.0,Rtv supplied us with improved seeds which have increased our total yields leading to increased income levels in the household,Rtv constructed for us a shallow well which have reduced cases of water born diseases in the community leading to increased income levels,1.4291003332099224,0
1.0,99.0,Rtv has increased  household  income through  the improved  agricultural  practices  that have been taught to the household  hence leading to the increased  agricultural  production,Non of the rtv programs  is less valuable  because  it has done to its best  to engage and support  the houses  in all ways avail through  their  programs,3.0229544613106256,1
3.0,1.0,We good a  well that gives us safe drinking water. The well also reduce the distanced time that is spent on fetching water from the village borehole,"Seeds were brought to the community, but I didn't receive the seeds . We were also promised pigs, but they were never delivered to us",2.8433913365420214,1
1.0,3.0,Agriculture is recommended because it has provided us with enough food production and also increased on our income rate thus rasing our self we appreciate Rtv surely.,Water is least recommend because there are protected sources of water in the village for domestic works thus being least recommend,1.8511662347278783,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,2.340614587189929,1
1.0,4.0,Agriculture productivity has been boosted through planting improved seeds hence increasing food society z credit goes to the raising the village tesm,Healthy facilities are still in a distance where by people move long distances to get health facilities and hence they cry out to raising the village,1.808959644576083,0
3.0,5.0,"Water Improves on body hygiene and sanitation, water is useful especially while cooking ,washing utensils and clothing plus human being bodies",They help in lending money to settle the debts especially paying school fees where by Vslas have got no much profits to put in the lended money compared to other banks,1.4896704924102182,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,2.1621621621621623,0
5.0,1.0,The program has helped the respondent to acquire money to pay for school fees and to meet other family needs such as food and other items,The respondent least recommend this program since hasn't benefited much from it as she doesn't have enough land to carry out agriculture,2.287300999629766,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,2.522769344687153,1
1.0,5.0,"Respodent says that raising the village with its programme of African nutrition, helped the people get seeds that they used to get the current improved seeds they are using even after returning the previous ones that was offered to them by the organisation",Vsla programmes is least recommended by the respodent because it has failed to make people stay in the saving group  according to the respodent reason being that they don't have enough money to save,1.724176231025546,0
1.0,2.0,"Agricultural and  nutrition is recommended  because of  the following  challenges  that still  exists,There's  banana bacterial wilt  that has led low production  of banana therefore  Rtv through  Agricultural  staff should  intervin as soon  as possible to  to save the existing  plantions in this village  of kyeshero central",Wash is the least recommended  because  all people  in kyeshero access safe and  clean  water due to protected water  springs constructed by  rtv therefore  water is nolonger  a big challenge,1.2658274713069233,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,1.095890410958904,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,1.1473528322843392,0
1.0,5.0,Agricultural trainings and nutrition has helped the household and community level to  ensure that they is reductions in poverty in their own homes,They can be taught in other interventions that have similar interests and knowledge about wash that are running in the community,1.2466123657904478,0
4.0,3.0,"Because if u are alive u do what u fill like at time since life is evry thing in the world 
Nothing can be done if some one is sick","Since am surrounded by many water sources I consider water as the least to be recommended 
Because am near by water sources",2.599407626804887,1
3.0,99.0,Rtv constructed a protected spring in the community and this helped households and the community at large to access clean and safe water,All rtv programs are good and unique in an interesting way therefore i recommend all of them so highly for other peers to share on them,2.850055534987042,1
5.0,99.0,To improve the household income standards by giving a out people start up funds which expands commercial agriculture and  businesses which increase individual welfare.,All Rtv programs support each other and go hand in hand which reduces poverty and this leads to community development. Also when individuals practice Wash they reduce diseases which improves human labour productivity.,4.946316179192891,1
3.0,5.0,"Before RTVs intervention, they had a water problem, but  now water was sorted, tanks were brought, others constructed. People are accessing clean water now.","They were not trained or taught very well on how the saving groups, will work or help them, as the villagers, they were even promised money which they didn't  receive or get.",3.659755646057016,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,1.713476490188819,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,0.9996297667530544,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,1.7363939281747502,0
1.0,4.0,The practices that were taught have been implemented and some results that are positive have been seen although we are forgetting some but what we are currently using is working for us so I recommend the agriculture program,I have been spending more than one million on my wife's medication in the last twelve months which has been hard on me interms of affordability hence requesting raising the village to add in more effort in that,5.143768974453907,1
1.0,99.0,"It has taught us better farming methods ,given us improved agricultural inputs in form of seedlings and this has improved output and nutritional benefits",All programs taught by the project have brought development into the area and this has improved our livelihood and standards of living,4.4898185857089965,1
1.0,4.0,Because we have been able to improve on our agriculture systems and have Increased harvests hence l  highly recommend it to other villages because it has helped us so much as village members,Because we still have a problem of health services hence  l don't recommend the program to others since it is still a problem to most of us,3.429100333209922,1
1.0,4.0,I have been practicing the raising the village programs and all have worked for me except the organic pesticide but otherwise I recommend all others programs to the rest of the community,Water is still an issue even though we were promised water by raising the village but we didn't get anything in regards to water and water source's so I don't recommend,1.8141429100333208,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,0.4405775638652351,0
1.0,3.0,I recommend agriculture and nutrition because raising the village has introduced new crops and this has increased food production and income in the household,I recommend water because I spend a lot on water and this has reduced on saving and my income is not enough to buy water every day,2.46945575712699,1
5.0,1.0,He has chosen VSLAs because his wife joined it and it has taught her how to save for her personal needs and family needs,He has chosen agriculture and nutrition because it has helped them to pay fees for their children and buying other needs like food for the family,3.706034801925213,1
1.0,2.0,"Agriculture is a source of income  to the people where they sell part of the yields and gets money to buy basic needs.
It is a source of food within household therefore strongly recommended.","The household head recommends WASH as the least
It's the role of the household to maintain its hygiene and sanitation therefore recommends WASH as the least.",0.7719363198815253,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,1.2143650499814882,0
1.0,99.0,The household benefit from the agriculture because they received the seeds and now are getting much yield that they are selling and still remain with some for consumption,They have benefitted from the water source their health and hygiene has improved due to the rtv interventions so the household thinks all programs have been beneficial,1.9589041095890407,0
5.0,99.0,VSLA is the most recommended because we get loans and take back our children to school because there are loans available,All programs help us forexample the water given easied our work because we save our time time and invest it in our gardens,2.9211403184005924,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,0.2443539429840799,0
3.0,5.0,This program has helped him to get clean water for his animals and for consumption  hence making  life better  to his family,This program is least  recommended because he has not yet participated in the VLSAs but he wish he could join and participate and he accumulate on his income,2.7064050351721587,1
1.0,99.0,I recommend agriculture and nutrition most because they have given us seedings of high quality and the products are seen,None of the programs is less recommended because water has helped us just agriculture not leaving wash behind because we benefit from all programs,2.156978896704924,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,0.537578674564976,0
1.0,3.0,The fact that rtv provided  the household received afew seedlings from the rtv agricultural program but the respondent is very happy for the project,The water sources are still far away from households therefore its still a challenge in terms of time consumption and long distances,5.728619029988893,1
1.0,5.0,"The agricultural sector has helped people get food 
Improve on standards of living and get out of poverty 
It is recommended because it has sustainable","The respondent is less  involved in this so he considers it less recommend 
People are less involved ............................",2.606442058496853,1
1.0,99.0,"It has taught us better farming methods ,given us improved agricultural inputs in form of seedlings and this has improved output and nutritional benefits",All programs taught by the project have brought development into the area and this has improved our livelihood and standards of living,3.610514624213254,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",Both of the programmes are important the community skills all are recommended to other areas of their operations as they are going to help the community members,2.688633839318771,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,1.198074787115883,0
1.0,99.0,"They gave us improved seeds and vegetables in the community to boost on farming. 
They taught us agricultural farming practices in the community. 
Very many people adopted to composit manure making in the community. 
There's food production at home ie they gave us improved seeds and vegetables we grew it we harvested it",The respondent has told me that all the RTV programs and services are good to human life in the community according to what they doing in the community like health. They have been carrying out health outreaches to the people in the community freely.,1.39748241392077,0
1.0,99.0,It's highly recommended given the fact that they received sÃ¨ds in time which havensince then multiplied and this has also enabled them sustain their households,"Al the programs have been @ueful and they rate them very highly for all sectors

Al the programs have been @ueful and they rate them very highly for all sectors",2.958533876342096,1
1.0,3.0,It has improved people's standards of living of individuals within the community due to improved methods of agriculture and its practices,It has maintained better hygiene and good sanitation within the community and their families since raising provided water source to the community,3.59755646057016,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,0.3798593113661607,0
1.0,99.0,"Through agriculture program, there was extention of improved seeds, training on improved and modern farming practices, which led to an increase in production and in turn, an increase on income to our families","All Raising the village programs are  good and they carry almost the same weight therefore without one of them, it delays the achievements of the others",4.219548315438726,1
1.0,99.0,There is provision of knowledge on how to do farming with better methods which increase food production there by increasing food security,"It will be of benefit to the village if agriculture is boosted, Sanitation is improved, water is no longer hard to get, health is improved",3.730470196223621,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,3.0884857460199924,1
1.0,3.0,The agricultural sector in these communities has improved because of the soil maintenance practices that were introduced by raising the village which has improved soil health and protect biodiversity,Water is still a problem here in away that people use dirty water from unprotected Wells which is a health risk to the people,4.644576082932248,1
1.0,99.0,Improved seeds which are relatively persistent and more yielding have increased food security and income from agriculture even for the village at large. He appreciates the compost pits,All the programs are recommended and good. He requests for a provision of another shallow well since the one provided is too far for everyone.  People end up using river water most of times which is risky,4.003332099222511,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,1.6723435764531656,0
1.0,4.0,This is because they gave us livestock such as pigs and chicken and also taught us better agricultural practices which in turn led to increased yields,This is because we only have a well constructed government health centre which has eased access to health services and I haven't seen any health centre constructed by rtv,8.626434653831915,1
1.0,2.0,I hwas given treated seeds for plan that improved my harvests and styles of crop improvement like manure application using local manure,People tend to construct tippytaps but they nolonger use them as we were advised  use them for the best of our life so it's better you use a strong hand than you used before,2.2313957793409847,0
3.0,1.0,"Because RTV constructed a water source within the village, and this has reduced the distance travelled when looking for clean and safe water","Because seeds that were provided by raising the village were not enough, these seeds should at least be provided in every season",2.9037393557941504,1
1.0,99.0,Agriculture is the most recommended because people were taught how to make liquid manure and also how to apply it and this has improved on the yeilds from the last seasons,"All programs are recommended since they are very effective in the lives of the people for example WASH, which has helped people to be more exposed to better life",2.861162532395409,1
2.0,1.0,They made every household promote sanitation and hygiene in the community.  People managed to have every standard evaluation requirements,The seeds given were spoilt by the heavy rains and they were brought late which led to little and losses according to the respondent,7.35394298407997,1
1.0,99.0,Agriculture and nutrition because it has provided people with new variety of seeds hence improve food security and incomes of households as well.,None of the programs because all the programs are beneficial to the community. And are educative  because people in the village have proper latrines for proper sanitation,2.3276564235468347,1
1.0,3.0,Agriculture is  recommended  because  there is still  a need to introduce  food  banana  that suits  to soil types  of this  area,National water and sewerage cooperation extended its  services in this  area and Rtv constructed  protected spring and Kanungu District local government  also added  an other  spring  to supplement  the existing  sources of water,4.544983339503887,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,1.3261754905590524,0
1.0,99.0,Raising The village gave out seeds to help people have good harvest due to improved seeds that was given by RTV thus improving people's diet.,Raising The village gave out seeds to help people have good harvest due to improved seeds that was given by RTV thus improving people's diet.,2.741577193631988,1
1.0,99.0,"The program is great and because agriculture is the back bone of Uganda so , for that reason I  appreciate it and credit it highly",All programs implemented here are very important and better for the social economic transformation and development of the community,0.7760088855979267,0
3.0,1.0,Raising thebvilage has constructed water sources in the area and hence the household is able to sÃ¨k enough clean water for consumption,"They never received any seedlings and hen e the reason they rate it so down, they request they are supported this time around",2.415401703072936,1
1.0,99.0,Agriculture has improved on the well being of the community through practicing the better methods of farming like use of compost manure and pesticides,All projects have improved on the standards of living through practicing the better methods of farming like use of compost manure,0.7141799333580156,0
1.0,3.0,Rtv gave improved seeds like beans and maize which have increased our yields leading to increased income I the household,Because its an essential basic need to human well-being and living in the community without clean and safe water People can suffer from water born diseases,3.497223250647908,1
2.0,4.0,The respondent says he is fine with Raising The Village and he appreciates because the hygiene is top notch at his home and he hopes to keep telling his fellows,He says the health Centre is far away and he struggles with his health and going there is very long distance from his home to the health centre,1.5675675675675675,0
1.0,2.0,Agriculture was recommended because when. Raising came there was improvement in farming methods where by there was applications of manure for high yields,"Wash was recommended because RTV  helped in the improvement of hygiene and the environment, and there was a building of improved toilets with tippy taps to was after toilet use",2.910033320992225,1
1.0,4.0,I was the best in our community and I really appreciate the organisation because it gave me a start of improved agriculture and also a pig that has now given birth twice and increased my income,We need a nearby health facility if at all the organisation can afford because it is very far and the transport is expensive but thanks to your programs,2.0107367641614218,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,0.8441318030359126,0
1.0,4.0,Agricultural support is very much important for the low income eraners in this community. Everyone is much Appreciative for the supplies.,This area is much affected by long distances to the health facilities. It would be great if the consider empowerment of VHTs to boost access to medical services.,3.195112921140318,1
1.0,5.0,"The program has supported them household agriculture wise through teaching them farm management practices,  manure making processes","The has found out that the program has been taken for granted by the people due to easy accessibility,  so people get out savings before they mature",3.791558681969641,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,0.6371714179933358,0
1.0,3.0,"This is because the agriculture and nutrition program is easy for people,  gives them knowledge on farming, gives them quality seeds and eventually increases on yields, boosts incomes and nutrition levels.","Because where she is, she travels a long distance to access a water point and thus she doest see the impact of the water program when she still has a long distance to cover to access water.",4.261384672343577,1
1.0,99.0,"Source of food and income from sale of Agricultural produce 
Thus increased household income 
Reduced hunger and poverty 
Better nutrition standards 
Increased food production  due to Better farming techniques","The respondent says the RTV  services provided in their area have been good
The respondent says the services offered were satisfactory",1.8256201406886337,0
1.0,4.0,This is because it has impacted my household's quality of life by giving me VSF which I used to start a business and also teaching us better agricultural practices,This is because we already have a well constructed Kirima health centre which has eased access to health services and it has helped us to improve on our living standards,5.79267160310996,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,0.8343576453165494,0
1.0,99.0,i was taught by raising the village staff for free on improved agriculture practices which have since boosted my yields from crop farming so i recommend this program,oi attended all the programs implemented by raising the village and they all were very developmental which is why i cannot least recommend any,1.6801184746390223,0
1.0,99.0,Agriculture  because  all what  they  taught  me during  the training I have  put them  into  use and I have  really  benefited,I like them  all because  I almost  benefited from all the programmes  like livestock  because  I received  a pig which as used for mating in the village  and later  people  paid in kid by giving  me piglets,4.527952610144391,1
1.0,99.0,They give us improved seeds and fertilisers that help us grow fast and get good yields that  we sell and get a living And they also teach us good farming practices,The aes all good and very important to us and none of them are least recommended because they help us to grow and develop financially,0.3631247686042206,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,3.109959274342836,1
1.0,3.0,This is the best recommended because this program has helped the household to generate their incomes and standards of living,This is least recommended because the household collects water from a distance and therefore it is difficult for them to get water,3.242502776749352,1
1.0,99.0,"Through successful implementation and training on better agricultural methods and practices especially use of improved seedlings, organic manure through use of compost pits",The respondent  highly supports  all the rtv programs  to other peers  because All the rtv programs have benefited the village from one level to another  and thus recommend all the programs,1.9948167345427616,0
2.0,99.0,There is an improvement on the standards of living due to the continued sustainability on programmes like hand washing ad having a cleaner environment,"All RTV programs have bigger influence in the village especially on WASH,agriculture and nutrition and better standards of farming",1.7245464642724917,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,1.399481673454276,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,1.1958533876342097,0
1.0,99.0,"The respondent appreciates rtv for having trained them on better methods of farming which included use of improved seed , application of manure among others which saw them improve their yields.",The respondent appreciates all rtv projects where she says they helped them improve on agriculture which is their source of income and also acquired knowledge on hygiene like use of tippy taps on the toilet area which has helped xeduce disease related to hygiene.,3.928174750092558,1
5.0,99.0,"This Rtv program have improved our area in economy, uplifted my mindset in savings and accessing quick Loan at any time.","None of the above qualify to be on the least because all look to be beneficial to us Forexample water, Agriculture where we are receiving crops.",3.000370233246945,1
1.0,4.0,The hh has received improved seed from rtv in its first intervention period. This yielded high and the hh made sales at the start. Though the goats she didnot get.,There has not been any health outreach made by rtv in this community. This has made costs of accessing health services very high which we are not earning.,3.77489818585709,1
1.0,99.0,"There is provision of animals which are later sold to get money which is used to invest in business , buy land improving on the wellbeing of people",All the programs and trainings provided are important since people learn alot from them eg wash programs helps on reduction of diseases in the community,1.9925953350610883,0
3.0,1.0,Raising the village constructed for us a water source which is now near our household and now it takes few minutes to get water unlike those days,We didn't receive Irish potatoes however we got other items like quality seeds for  example maize and beans but for Irish I didn't get,2.679748241392077,1
1.0,2.0,"Honestly agriculture takes it , for they gave me seeds and up to now am still keeping g seed season. After season.  I eat well now day and I appear health","We travel long distances  to fetch water, I f rtv could build for us water source  we would be great full indeed  and fly high",2.07034431691966,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,0.2961865975564606,0
1.0,4.0,Because the program has helped us to have increased incomes and harvests hence l highly recommend it to other villages for the better development,Because we still have a problem of accessing better health services in our village hence l don't recommend the program to others,2.092558311736394,0
