most_recommend_rtv_program,least_recommend_rtv_program,most_recommend_rtv_program_reason,least_recommend_rtv_program_reason
1.0,4.0,I have been practicing the raising the village programs and all have worked for me except the organic pesticide but otherwise I recommend all others programs to the rest of the community,Water is still an issue even though we were promised water by raising the village but we didn't get anything in regards to water and water source's so I don't recommend
1.0,4.0,"Because of the manure they taught me specifically  the liquid one  and the seed they gave me, makes agriculture the best program from rtv","Even now am from the health center , I can tell you there's no medicine, rtv medical team nolo ger comes in our area, they stopped"
1.0,99.0,They recommend  agriculture they give them yield alot and generate  income  which help them  improve  their  standards of living,They recommend none  because  they give them money seedlings  train them improved  farming practices which improve on their crop yeilds
1.0,4.0,The practices that were taught have been implemented and some results that are positive have been seen although we are forgetting some but what we are currently using is working for us so I recommend the agriculture program,I have been spending more than one million on my wife's medication in the last twelve months which has been hard on me interms of affordability hence requesting raising the village to add in more effort in that
1.0,3.0,"They supply vegetables  which helps to reduces on the source expenses.
Food scarcity is controlled within the area because they provide improved seeds","Most areas have water sources nearer to them because boreholes are located at a shorter distance.
Agriculture is what is needed the most in the area"
1.0,3.0,Agriculture and nutrition help to improve the health standards of household members and again this programme reduces expenses on buying food,Water for use in the household is collected from the nearby lake which is lake Bunyonyi so emphasis should be put on other programmes like food and nutrition
,,,
1.0,99.0,She praised the project for bringing trainings that have increased our knowledge  on agriculture  as well as involving in growing in vegetable  that have improved our nutrition,She appreciates  all programs brought in her community because they have helped her increase on her income sources and capacities
3.0,99.0,"The clean provided by rtv reduced on disease spread 
The knowledge and skills about live farming and management 
The composit manure use boosted the growth of perennial crops",All programs were supportive especially Livestock farming and management has increased on the animals production thus high income recieved
1.0,2.0,The household respondent was appreciative on the seeds  given by rtv and its own  agronomic  practices  thus making it possible,The household respondent was very  active and   wash components  are  ready  to use tippy taps  and others thus making it easy to rtv being the  least
1.0,99.0,"Through successful implementation and training on better agricultural methods and practices especially use of improved seedlings, organic manure through use of compost pits",The respondent  highly supports  all the rtv programs  to other peers  because All the rtv programs have benefited the village from one level to another  and thus recommend all the programs
1.0,2.0,"Agriculture is a source of income  to the people where they sell part of the yields and gets money to buy basic needs.
It is a source of food within household therefore strongly recommended.","The household head recommends WASH as the least
It's the role of the household to maintain its hygiene and sanitation therefore recommends WASH as the least."
1.0,99.0,"They get enough food in their homes
People take a balanced diet by having enough and nutritious food.
Their is increased incomes through selling food","They have promoted awareness on liquid manure making
Standards of living have improved through construction of latrines.
They get clean and safe water."
2.0,99.0,She appreciates WASH because it has helped improve improve the hygiene of the village and also reduce on sickness and spending on treatment,They are all good programs although the household says he missed out when they were supplying vegetable seedlings and improved crop varieties
1.0,99.0,"I would recommend Agriculture and nutrition programs because they have taught us improved farming methods, how to make manure,given us improved seedlings,taught us post harvest handling methods among others and these have increased on our yields and food security","All programs are very important and l would recommend them to my peers especially WASH,VSLA, agriculture and nutrition among others"
,,,
1.0,2.0,They were given beans and they tried to plant the  which were much improved but the challenge was late delivery of the seeds,The issue of sanitation and hygiene is still missing and therefore raising the village needs to give us more trainings so that we can improve
,,,
1.0,99.0,This program has improved on agricultural yields through introduction of new agricultural methods and have improved on household income,"All rtv vprojects are beneficial to the community  and are all recommended to other peers especially agriculture and nutrition,  wash"
1.0,2.0,"Agricultural and  nutrition is recommended  because of  the following  challenges  that still  exists,There's  banana bacterial wilt  that has led low production  of banana therefore  Rtv through  Agricultural  staff should  intervin as soon  as possible to  to save the existing  plantions in this village  of kyeshero central",Wash is the least recommended  because  all people  in kyeshero access safe and  clean  water due to protected water  springs constructed by  rtv therefore  water is nolonger  a big challenge
1.0,4.0,Agriculture teaches us better methods of farming through manure applications and nutrition has improved through backyard farming,One can easily go to the government health centre for treatment due to being easily accessible by the respondent and thus no need for rtv health facilities
,,,
3.0,5.0,"The respondent prefer water project in the community, though the water source is in 1km distance it's a very steep it's not easy for them to fetch water from such places and are requesting for the health access in the community due lack of health facilities in nearby villages","Have different village savings that provide the same services as RTV VSLA they prefer other projects to the RTV VSLA, and the Rtv VSLA is not as strong as they want. They can't give them enough money"
,,,
1.0,3.0,The  household head has highly recommended the above programme to his peers because he says that he has benefitted from the modern farming  practices that's were taught to him during the trainings of Raising the village,"The household  head says that he hasn't benefited  from, the water project because he says that the water is in the valley and this makes it hard for him and the family  to fetch the water"
,,,
,,,
1.0,99.0,The respondent says that they were Given improved seeds. These improved on their yields and thus more income was obtained .,The respondent says that all Programs are good more especially those that she is aware about and thus there is no need of least recommending any programsÂ  since they are all beneficial to the community
,,,
1.0,99.0,The household spouse or respodent says that the programme that is most recommended is agriculture because it helped to initiate new and better methods of agriculture,The respodent says that raising the village programmes are all equally recommended because they all performed so to their climax
1.0,5.0,"For domestication by facilitating the domestication of plants and animals for human use ,for economic development by providing a basis for trade and economic development",For saving mobilisation to encourage members to save regularly building a habit of saving and accumulating capital overtimeand the to be inclusive in finance for the provision of finance services to those who are underbanked
1.0,99.0,"The training of manure making has increased on the capacity and ability to increase food production and sustainability, which has led to better health condition and services","The provision of all rtv training has led to increased sustainability and awareness, leading to improved standarsd of living"
2.0,99.0,The wash training teaches people about hygiene thus improving the cleanliness of the community and reducing diseases reducing on costs,All programs are benefial because people learn alot from the trains offered by raising the village eg the agricultural program people receive seeds for planting
1.0,99.0,"There is provision of animals which are later sold to get money which is used to invest in business , buy land improving on the wellbeing of people",All the programs and trainings provided are important since people learn alot from them eg wash programs helps on reduction of diseases in the community
3.0,5.0,"Before RTVs intervention, they had a water problem, but  now water was sorted, tanks were brought, others constructed. People are accessing clean water now.","They were not trained or taught very well on how the saving groups, will work or help them, as the villagers, they were even promised money which they didn't  receive or get."
,,,
1.0,5.0,The household recommends agriculture because they  were taught how to takecare of the their crops in order  to get good yields,"VSLA recommends VSLA because ever since Rtv left the village  to continue on their  own,people developed some disagreements and couldn't  continue"
,,,
1.0,99.0,"Because he received  improved  seeds and hybrid  pig,  this  helped him to increase household yields  and income  earned  per year","Because people of ahakibungo village benefited all the services  of Raising the village like Agriculture,  VSLAs , Water"
99.0,1.0,He has no idea about all the  programs  listed and this could be affective in a way that pipo have failed to develop................................,"This has helped some people to get food and they are surviving 
He therefore urgues the organisation to provide more  because it's a nice one"
1.0,99.0,"Household spouse was given soya, and beans. She was also given vegetable seedlings which has helped her alot. She has not been okay with her husband because he hasn't constructed for her in the village. But she has actively participated in all trainings regarding agriculture. And she has liked them","Household spouse has liked all rtv programs . She is not part of the VSLA, But she learnt how to work hard as a woman to raise household expenditure.And save. She plans to save and construct"
1.0,99.0,"Through agriculture program, there was extention of improved seeds, training on improved and modern farming practices, which led to an increase in production and in turn, an increase on income to our families","All Raising the village programs are  good and they carry almost the same weight therefore without one of them, it delays the achievements of the others"
,,,
1.0,99.0,"The respondent she has benefited  a lot from raising the villages such as manure application,organic pesticides and getting free seeds that yield a lot","All raising programs are good because they have all benefited the participants,like through savings,extension of water sources and planting vegetables"
,,,
1.0,3.0,The household is thankful for the program of seeds provision however the soils didnot favour the seeds that were provided,People were taught how to use clean and safe water for human consumption both for cooking and drinking but werenot provided that safe water source
,,,
,,,
1.0,2.0,Agriculture was recommended because when. Raising came there was improvement in farming methods where by there was applications of manure for high yields,"Wash was recommended because RTV  helped in the improvement of hygiene and the environment, and there was a building of improved toilets with tippy taps to was after toilet use"
1.0,99.0,"Agriculture can gets food and income this why rtv thought to make and use composite manure,  sensitize and give improved seeds hence recommend to the peers to also practice",All the information trained by rtv to the Last mile community are important to the development of the last mile community hence all should be emphasised
,,,
1.0,99.0,The program provided inputs that I planted and got mo4e yields that I sold to earn more yields. They also taught good agronomic practices,All the programs worked very good to my household hence I do recommend all the programs to my peers due to their great impact
,,,
,,,
,,,
1.0,3.0,Raising the Village has taught us how to have vegetable gardens at home and this has helped us a lot because sometimes you find when you don't have sauce at home and these vegetables can help us,We still have the problem of acess to clean water in this village. We ask RTV to help us to construct for us a tap water a round this community so that we can also have clean water
3.0,99.0,Water has been a concern in this village but ever since raising the village joined they secured access to safe water thus adquate supply,Most activities are more sensitive to the community most especially wash where sanitation has been improved im most families
1.0,99.0,Raising The village gave out seeds to help people have good harvest due to improved seeds that was given by RTV thus improving people's diet.,Raising The village gave out seeds to help people have good harvest due to improved seeds that was given by RTV thus improving people's diet.
1.0,3.0,Rtv supplied us with improved seeds like beans and maize and Irish potatoes have increased our total yields leading to increased income levels through sales of the produce,Rtv constructed for us a shallow well which has supplied us with clean and safe water reducing cases of water born diseases in our community
1.0,99.0,Raising the village provided us with good quality seeds that had good crop yields and we have embraced the activity and gained more from agriculture than other previous seasons,"Raising the village programs are all good and doing well for community in terms of increment generation and more food , more savings and good diet however we highly request for water source"
1.0,5.0,"They instilled knowledge and skills in us and how to sell agricultural produce to sustain our household, hence the Most recommended program","Because savings depend on one's income yet we have seasonal incomes, especially during the yielding time, but after it's hard to save"
1.0,99.0,"Household head is a farmer, and has benefitted alot from rtv . Learnt how to  make compost manure and liquid manure whih he applies","All are very good programs for the village. He is a member of the rtv VSLA, and has been actively saving, has some wash components and testifies that the water constructed has been helping"
1.0,2.0,"There is improved farming methods that are  being practiced due to the intervention of Raising  the Village, improved seeds though they were little.","The water spots are still far and dirty, people still fetch dirty water  to use for domestic use, which leads to increase  of diseases."
1.0,2.0,"Honestly agriculture takes it , for they gave me seeds and up to now am still keeping g seed season. After season.  I eat well now day and I appear health","We travel long distances  to fetch water, I f rtv could build for us water source  we would be great full indeed  and fly high"
,,,
,,,
2.0,1.0,They made every household promote sanitation and hygiene in the community.  People managed to have every standard evaluation requirements,The seeds given were spoilt by the heavy rains and they were brought late which led to little and losses according to the respondent
3.0,99.0,Water is the most recommended  program according  to her because  Raising the  village  constructed for same taps and help them to get water in time,"None as least  because  she benefits  from all frograms of Raising the village,  this helped her to save income and same"
3.0,1.0,We good a  well that gives us safe drinking water. The well also reduce the distanced time that is spent on fetching water from the village borehole,"Seeds were brought to the community, but I didn't receive the seeds . We were also promised pigs, but they were never delivered to us"
1.0,99.0,It has helped us to raise enough food to feed on in our household through the provision of fast maturing seed varieties,The other programs of rtv have helped us to develop ourselves both financially socially and even in terms of health living
3.0,2.0,This project gave us improved water sources that improve access to clean drinking water. This reduced diseases and the time spent on fetching water,"I am an old man, and I don't have the ento implement most of the hygiene requirements such as a clean toilet and the kitchen"
1.0,99.0,"The program is really well though I have never received anything from rtv the fact that am an old woman, I have no energy to fight. I only plant a little to eat.",I don't have much knowledge about them since I have not been to their workshops where they train from. That's why I cannot say that I least recommend this.
,,,
3.0,1.0,He has chosen water because it's far from there household which has led them to spend much time in fetching and it can help them in home use,"He has chosen agriculture and nutrition because it has helped him in paying school fees, saving and also buying some needs for his family"
1.0,5.0,"Has give improved  seeds to the community  where by income  in the household  has changed 
Promoted  agricultural  trainings  in improving  crop yields and other agricultural  inputs","Little  time is given to those who get money  from VSLA
requesting  to always  give more money 
More trainings  on how  we should  save"
1.0,4.0,The CAT usually checks on me to see how I am progressing with the improved seed of beans they gave us. They are good people,I don't know about that program as  they have never helped me whenever I fall sick.I wish they could help me whenever I need help.
1.0,5.0,The respondent said that she is happy about rtv because of its programs that are being implemented especially agriculture,The interest rate of acquiring the loan of the VSLA is high and this has limited the number of members in the association
1.0,4.0,Because we have had better through the improved seeds that were given and the agriculture practices that were taught hence l recommend the program to others,Because we still have problems of health services since we walk a long distance to get better treatment hence l don't recommend the program
1.0,99.0,"they give us improved seeds which grow fast and give us good yields 
They teach us different good farming practices which help us grow crops despite the whether changes",They are good and none of the programs are least recommend because they are all helping and making us to develop in our framing ways and financial
1.0,4.0,"Because the only crop am still keeping, the seeds I got it from rtv , they considered irrespective of my  of age, I have wat to eat atlases court of rtv","The medics  were brought and they treated me, am now sick but I can't see them, I don't have money, if they come again , I will be healed"
3.0,5.0,Because it has helped them get easy access to water where raising the village provided water in her computer actually water tank,Because it helped them to improve on their savings by making up saving groups which would help them in future development
,,,
5.0,1.0,He has chosen VSLAs because his wife joined it and it has taught her how to save for her personal needs and family needs,He has chosen agriculture and nutrition because it has helped them to pay fees for their children and buying other needs like food for the family
1.0,2.0,I hwas given treated seeds for plan that improved my harvests and styles of crop improvement like manure application using local manure,People tend to construct tippytaps but they nolonger use them as we were advised  use them for the best of our life so it's better you use a strong hand than you used before
,,,
3.0,1.0,Raising the village constructed for us a water source which is now near our household and now it takes few minutes to get water unlike those days,We didn't receive Irish potatoes however we got other items like quality seeds for  example maize and beans but for Irish I didn't get
5.0,1.0,I got a loan from the Joint VSLA which I used in my business and used part of the money to pay school fees for my children,The seeds which were supplied weren't enough for people in our village thus some of us missed out for example I didn't  get beans
1.0,3.0,Agriculture has provided more sources of nutrition through vegetables which like cabbage hence improved immune system and more sources of food,Sources   of water are nearby which helps the respondent save time to go and do what they know best which is agriculture
,,,
2.0,99.0,"We got knowledge on how to maintain hygiene in our homes,around the toilet and the whole community  not forgetting the water sources",All the services offered by Raising the village are good for community development so that there is total transformation
1.0,5.0,"Respodent says that raising the village with its programme of African nutrition, helped the people get seeds that they used to get the current improved seeds they are using even after returning the previous ones that was offered to them by the organisation",Vsla programmes is least recommended by the respodent because it has failed to make people stay in the saving group  according to the respodent reason being that they don't have enough money to save
4.0,3.0,There is a motorcycle from raising the village that transports people to the hospital this reduces on the un necessary death of people and children,The water source needs renovation because its always breaking that's what she responds and the water water group is nolonger so active
5.0,99.0,VSLA is the most recommended because we get loans and take back our children to school because there are loans available,All programs help us forexample the water given easied our work because we save our time time and invest it in our gardens
1.0,5.0,"The program has supported them household agriculture wise through teaching them farm management practices,  manure making processes","The has found out that the program has been taken for granted by the people due to easy accessibility,  so people get out savings before they mature"
2.0,99.0,I would recommend WASH people are not understanding the weight of this program like the house hold is not considering cleanliness anyway not even that he has children,All the programs helped people shape their life the way they wanted such as water some people got clean water near them others gained through agriculture
1.0,99.0,It has supported the community initiatives through agriculture through trainings that is through making fertilizers that has helped them produce highly,Most programs are essential to the household most especially agriculture that has helped the household secure food and increased income streams
,,,
2.0,99.0,"The respondent says through WASH, their personal hygiene has greatly improved and there is less spread of various diseases a reason its recommended most",The respondent says all programs have been promoted in the area and people are appreciating hence there is no least recommended program
3.0,99.0,The household recommends water most because rtv brought the water source near the household which reduced on the time taken to collect water,Raising the village has done well in the village so I appreciate the good work done by the organisation that's why I recommend all
1.0,3.0,"fred their proved seeds supplied to them are very good and have supported them so much in increased crop production,they fight with unfavourable weather conditions",None Fred advises that all programs are important in developing their community so he seconds allof them. He requests RTV to also implement water project like the neighbouring villages.
,,,
1.0,5.0,The household is supporting  WASH and she said that before the Rtv intervention 'her village  was badly  off interms of hygiene,She recommends VSLA  and said that  she didn't not gain much  in VSLA due to misunderstandings that came out from there
1.0,99.0,"Agriculture and nutrition reason being,  agriculture as an rtv program has provided them with improved seeds,  trainings about making liquid,  organic and composit manure.","That all programs have perfectly performed in their community like wash with improved water source and trainings which they taught them how to construct modernised dishracks, sanitation and hygiene."
1.0,3.0,"I recommend rtv to move to other areas due to its programmes of seed supply of maize, beans and Irish potatoes. And also greens for nutrition","We wea not given a water source in the area so we lack good and safe water point I the community,  we rely on swamp water"
1.0,5.0,"Because of modern and improved farming methods like use of compost and liquid manure,key hole gardening 
These there lead to yields of agriculture prdues",Saving is but sometimes money for saving money for savings may not be available if h don't have a business that can provide dairy income
1.0,99.0,She loves agriculture because when she harvests she sells and gets some income. She also gets money for paying fees from selling agriculture produce,She loves all rtv programs reason being hey are good. This is because all programs are good and impactful in our homes and communities
1.0,99.0,"Agriculture and nutrition because it has brought trainings which have helped them to make their own liquid, organic and composit manure","Reason that all the programs are doing well in their community gave an example VSLAs taught them how to start saving,  health treats helped them to get professional medical teams to treat them"
5.0,99.0,The program of VSLA helped the respondent to invest in her business and agriculture and this has helped her to improve on the household incomes,All the programs are good as per the respondent and there is no program she could criticise or least recommend from the selected interventions
1.0,99.0,He tells me the he most recommends agriculture and nutrition because it is a source of food and income at once which has improved on their standard of living,He doesn't least  recommend any because the whole projects are developmental fore ample they always get loan at lower interests
1.0,99.0,They taught us to have dumping pits where we can have manures and transfer it to our garden so that we add soil fertility to increase our yields.,All programs are beneficial to us however we are more interested in agriculture since it's what we do best but also the savings help us to improve our economic status
5.0,4.0,This program has benefited most people in the community because it has taught many people how to save and it has given people the start  up fund,This is because RTV has spent some months not coming back to this community to do some health services of which they fill it should come atleast monthly according to this household
1.0,99.0,"I have seen improvement on my farm and the yields are getting high every season. 
I believe to have great farming practices in the future","I don't least recommend because I have seen many people benefit from different programs.  
I have been able to save money and also Improve on family health"
1.0,99.0,"She recommend all the programs but agriculture stood out because she is still using the same seeds given to her by rtv
She now has food security cause she grew the vegetables",She is involved in all the programs and so she recommends all the programs positively to others  cause she is actively involved
,,,
1.0,99.0,Agriculture and nutrition programme for the Raising the village has enabled farmers to acquire better farming practices and has led to high yields,All programs of Raising the village programs has been well implemented and none of them have been left not implemented and they have made life better
1.0,3.0,It has improved people's standards of living of individuals within the community due to improved methods of agriculture and its practices,It has maintained better hygiene and good sanitation within the community and their families since raising provided water source to the community
,,,
1.0,3.0,"She recommended agriculture because it provides food for consumption and also reduces on costs of buying. 
She also says that the knowledge of manure applications has greatly improved on their yields.",She recommended water least because the organization gave them a water source that functions and also their are many water sources around.
1.0,3.0,The fact that rtv provided  the household received afew seedlings from the rtv agricultural program but the respondent is very happy for the project,The water sources are still far away from households therefore its still a challenge in terms of time consumption and long distances
1.0,99.0,Agriculture is the most recommended because people were taught how to make liquid manure and also how to apply it and this has improved on the yeilds from the last seasons,"All programs are recommended since they are very effective in the lives of the people for example WASH, which has helped people to be more exposed to better life"
,,,
,,,
1.0,5.0,I really recommend agriculture because it's the timebwhen rtv was this side I started growing Irish potatoes after being taught how to grow them,vSLAS ARE MOST LEAST IMPLEMENTED BECAUSE IN MOST CASES THEY EXISTED SHEN RTV IS STILL THIS SIDECBUT NOW NO WHERE YOU CAN HERE THEM
,,,
,,,
,,,
1.0,99.0,Agriculture and nutrition because it has provided people with new variety of seeds hence improve food security and incomes of households as well.,None of the programs because all the programs are beneficial to the community. And are educative  because people in the village have proper latrines for proper sanitation
1.0,3.0,The respondent says that agriculture is her best option because it has helped her to get food and this has led to her sustainance,"The respondent says that though rtv has brought water in the community, it is still far from her household and this makes it difficult to access it"
2.0,5.0,"This is because raising the village has ever emphasised them to put in place activities that fall under WASH forexample installing tippytaps,  putting in Place compost pits and taking of clean water like boiling","Because they know that  VSLAs come as a supplement after they have to put first WASH, then agriculture and nutrition because they cannot get money to put in VSLAs when they don't consider healthy and wealth from agriculture"
1.0,99.0,"Becuase it source of food at home.
For example we can enjoy sauce with buying when we eat the vegetable that rtv gave us.","Welst having agriculture, having nearby water and good health, has benefited my family. 
The children now go to school without missing much because they have good health."
1.0,4.0,"For settlement by encouraging permanent settlements and the development of civilization.,for economic growth through providing a basis for trade and economic development","For health insurance for the aviabilility of health insurance coverage to help manage health care costs, and for health education by providing individuals with information and education about health prevention and available services"
,,,
3.0,99.0,Water is the most recommended program people are still finding it hard to access clean water which is becoming hard for them because they are still using dirty water,All programs of rtv are very good and developmental towards villages incase they are understood clearly and put into work these programs can help me improve their lives
1.0,99.0,"Raising the village acted as an eye opener to the household and the entire community wherein the community was  taught about different forms of agricultural practices, gave them agricultural inputs, and in addition introduced VSLAs and this increased their food security as well as their capacity to solve an emergency.","The above mentioned programmes of Raising The Village are so important in a life of a last mile dweller whereby cluster members are introduced to a couple of ideas, that train them in given sequences which yields great importance to the household and the entire community."
,,,
1.0,5.0,"Source of food 
Source of income.e from sale of Agricultural produce  thus increased  household income 
Reduced poverty 
Reduced hunger 
Better nutrition standards 
Provision  of improved seeds that yield higly","Most villages  have many saving groups  in existence  already 
Thus by the time RTV introduces its VSLAs  people are already committed to many other VSLAs"
3.0,99.0,Water pinta constructed by rtv bas helped reduce fetching time and access to clean water hence good hygiene and health conditions,"All programs are recommended by respondent as they aim at improving household yield and income, food security and households hygiene"
1.0,99.0,Agriculture has improved on the well being of the community through practicing the better methods of farming like use of compost manure and pesticides,All projects have improved on the standards of living through practicing the better methods of farming like use of compost manure
1.0,99.0,Agriculture is the most recommended because it has enabled people to get more yeilds than the last seasons became of application of liquid manure,"All programs are recommended since every have all been successfully implemented and working well  in the society especially Sanitation,Agriculture"
3.0,1.0,Raising thebvilage has constructed water sources in the area and hence the household is able to sÃ¨k enough clean water for consumption,"They never received any seedlings and hen e the reason they rate it so down, they request they are supported this time around"
,,,
1.0,4.0,Am getting old day by day but i and my grandkid are surviving on the agricultural programmes implemented by raising the village so I advise ieach and every other person to adopt these practices to survive in this serious economy,"I have alot of disease incidences happening to me but due to lack of access to cheap medication i have invested in all the small i have, if atall raising the village had implemented the health programs i would have saved that for better"
,,,
1.0,2.0,"Agriculture and nutrition has greatly provided good  food to the household  
It's equally  important  because it has eradicated hunger","She doesn't know the insance of maintaining the wash and Sanitation of the place 
It's less valued......people have not put it into practice"
,,,
1.0,4.0,The respondent says Agriculture is the major source  of food therefore it has enhanced food security and is acting as the major source of income to the household,The respondent says they travel along distance to access a government health facility therefore they need interventions from either the government or RTV if possible
2.0,3.0,The washing of hands regularly has increased on the life care and sustainability due to the RTV trainings and inspections because we are highly taking care and caution,The water source provided by RTV is far from my household which makes it hard to access it regularly but however it reduced on the walking time
2.0,99.0,They were taught to keep hygiene and this has reduced the diseases that used to attack children and now they can save the money that they used to spend in hospitals,All programs were good for them and he doesn't recommend any programs as a least to others because he wish them also to benefit like they benefited
1.0,3.0,Agriculture and livestock is broad thus has variety of projects that one can partake.Thats why I would recommend this program,"I said water as the least recommended but quite honestly,all the programs Raising introduced to us were all good and beneficial to our community."
3.0,5.0,This program has helped him to get clean water for his animals and for consumption  hence making  life better  to his family,This program is least  recommended because he has not yet participated in the VLSAs but he wish he could join and participate and he accumulate on his income
,,,
,,,
1.0,3.0,The program is most recommended because it was really effective.People adopted so quickly to the new agricultural practices introduced and started seeing great results in their yields.,The program is less recommended because of the difficulties wew face to access clean water. The nearest water sources is kilometres from away from the households.
2.0,99.0,"This is because the death rate in our community had increased due to poor hygiene and people not taking care of themselves but with the intervention of the RTV organisation, we have been able to register low death rates due to the good hygiene .","This is because all the programs are good as far as l can see ,because even every member of my community praises RTV and therefore l call upon each member to be part of the race ."
,,,
,,,
1.0,99.0,Raising the village. Provided me with high yielding crops that have helped me utilise my small land to produce a lot of food and sell the surplus,All the programmes have helped me so I find them important as each one gives knowledge on how to improve our well being
,,,
1.0,3.0,The program is most recommended because it was really effective.People adopted so quickly to the new agricultural practices introduced and started seeing great results in their yields.,The program is less recommended because of lack of water sources in the village. We move a long distance to correct water which has been a challenge
2.0,99.0,The most recommended programme is WASH because it has improved on health and the well being of human life thus minimising several diseases like cholera,The least selected is none because most of RTV programmes have helped the community to eradicated poverty as many are engaged in agriculture and Livestock keeping as well
,,,
1.0,99.0,"Because agriculture creates employment opportunities for people who work as labourers and thus generating income to the people, and for food security thus consumption",All rtv programs are working well and many people have benefited from it through improved farming methods and training changed their minds thus economic growth and development
5.0,4.0,She says that the vslas have helped her sometimes whenshe is stranded she goes and borrows money from their for survival,Since she is aging she can't manage to move long distances to access the government health facility and her health condition yas remained on fair state
1.0,99.0,"Agriculture  consists of growing of crops  like beans ,sorghum, maize sweet potatoes ,Irish and also raring of animals for home consumption  and for  sell,through  RTV, communities  were able to carryout  agriculture  inorder  to eliminate  ultra  poverty",All programs  are relevant  and have increased  on people's  standards of living since some households  have constructed  tippy taps inorder  to reduce  on cases of diseases
,,,
1.0,99.0,"This is the one I am participating in mostly and it has helped me alot to improve my agriculture 
Because we are an agricultural community so the program helps us alot",I believe Raising the village is doing its best to help our communities so I support whatever they are doing in our communities
,,,
1.0,99.0,"Rtv takes lastmile community in training in agriculture in making and using composite and liquid manure, improved seeds, they remain with knowledge for sustainability hence recommend to peers",All rtv interventions in the last mile community and household level are very important to development of the community
3.0,5.0,They constructed a borehole where the community members are having clean and safe water from we are now very happy for what raising The village did to our community,"We have never been given any money much as we hear that other p
People in our community actually got money to boost their income generating activities"
